N,name,price,url,pages,size1,size2,size3,weight,cover,year,"description"
173,Рерих. Подлинная история русского Индианы Джонса,670.0,https://www.chitai-gorod.ru/product/rerih-podlinnaya-istoriya-russkogo-indiany-dzhonsa-3001038,608.0,3.3,12.5,20.0,500,Мягкий переплёт,2023.0,"Олег Шишкин – ведущий авторской программы «Загадки человечества с Олегом Шишкиным» на РЕН-ТВ. Ради сенсационного исследования о Николае Рерихе он прошел дорогами Гималаев, Гиндукуша, Каракорума, Памира, Малого Тибета и Алтая. Его новая книга написана в жанре архивной криминалистики и содержит ошеломительные подробности, редкие архивные документы и рассекреченные результаты научных экспертиз. Автор раскрывает тайны «Епископальной церкви» и бриллиантовой «Кладовки Ленина», выдает пророчества Елены Рерих о «богах» большевизма, о Рузвельте и Муссолини, а также рассказывает о том, какую роль в судьбе Рериха сыграли Сталин и Николай Вавилов и почему художника так интересовали поиски Святого Грааля, которые вел нацистский ученый Отто Ран…
Любопытный читатель сможет увидеть здесь:
• Имена разведчиков в окружении Рериха.
• Имя предателя из НКВД в экспедиции художника.
• Впервые опубликованный документ, в котором Рерих про-
возглашает себя царем Шамбалы.
• Уникальные фото из закрытых архивов."
174,Намедни. Наша эра. 1961-1970,4726.0,https://www.chitai-gorod.ru/product/namedni-nasha-era-1961-1970-2941628,320.0,2.5,24.0,33.0,1990,Твёрдый переплёт,2023.0,"В книге “Намедни. Наша эра. 1961–1970” Леонид Парфенов разбивает ключевой период в истории Советского Союза на 348 феноменов – политических, культурных, бытовых. На этих страницах шестидесятые представляются огромной мозаикой, в которой нам посчастливилось рассмотреть самые мелкие детали: технические и строительные успехи СССР перемежаются с международными конфликтами и судебными процессами над инакомыслящими, восходящие звезды советской эстрады соревнуются в популярности с Битлами, а молодежь носит провокационные вещи и танцует запрещенные танцы.
Это многоликое и противоречивое десятилетие начинается обещаниями построить коммунизм к 1980 году, а заканчивается тотальным разочарованием в режиме и его идеалах. Оно подарило нам “Голубой огонек” и “Спокойной ночи, малыши”, походную романтику, КВН и 8 марта. Это время зарождения диссидентства, процесса над Бродским, суда над Синявским и Даниэлем. Многие традиции, которые появились в то время, сегодня являются привычной частью нашей повседневности, то же касается социальных и политических тенденций. Парфенов показывает, как сегодняшние события во многом наследуют решениям, принимаемым шестьдесят лет назад."
175,Намедни. Наша эра. 1971-1980,4336.0,https://www.chitai-gorod.ru/product/namedni-nasha-era-1971-1980-2667187,272.0,2.2,24.5,33.5,1759,Твёрдый переплёт,2021.0,"Том книжного проекта «Намедни» про годы 1971–1980 – это панорама эпохи, которую назовут застоем: растущий дефицит всего и массовое диссидентство, «Союз» – «Аполлон» и безрезультатная борьба с пьянством, повторы «Семнадцати мгновений» и «Иронии судьбы», стабильное Политбюро во главе с «лично Леонидом Ильичом» и фарцовка джинсами, Высоцкий и Пугачева, «Жигули» и Афган. Притом что это «тучные годы» дорогой нефти настоящей энергетической сверхдержавы, которая тягается с Америкой на равных, проводит образцовую Олимпиаду, а над ее сателлитами никогда не заходит солнце.
В сравнении с телеверсией объем многократно расширен и дополнен, в книге свыше 500 фотографий, рисунков, карикатур и других иллюстраций."
176,"Москвич. Это мой город. Людмила Улицкая, Андрей Макаревич, Гузель Яхина, Николай Цискаридзе и другие известные москвичи о том, как мы здесь живем",209.0,https://www.chitai-gorod.ru/product/moskvich-eto-moy-gorod-lyudmila-ulickaya-andrey-makarevich-guzel-yahina-nikolay-ciskaridze-i-drugie-izvestnye-moskvichi-o-tom-kak-my-zdes-zhivem-2765382,240.0,2.9,14.5,20.7,509,Твёрдый переплёт,2019.0,"""Сборник уникальных текстов о Москве, в которых город раскрывается с новых сторон.
Личные истории известных и ярких людей. Авторы сборника – самые известные и медийные люди Москвы: музыканты и актеры, писатели и телеведущие, бизнесмены и рестораторы. Людмила Улицкая, Андрей Макаревич, Ксения Собчак, Гузель Яхина, Алексей Венедиктов, Александр Ширвиндт, Дмитрий Дибров, Анна Чиповская, Константин Райкин и многие другие! """
177,Письма о добром,232.0,https://www.chitai-gorod.ru/product/pisma-o-dobrom-2450435,160.0,1.0,11.5,18.0,79,Мягкий переплёт,2023.0,"«В читателях моих писем я представляю себе друзей. Письма к друзьям позволяют мне писать просто.
Сперва я пишу о цели и смысле жизни, о красоте поведения, а потом перехожу к красоте окружающего нас мира, к красоте, открывающейся нам в произведениях искусства. Я делаю это потому, что для восприятия красоты окружающего человек сам должен быть душевно красив, глубок, стоять на правильных жизненных позициях. Попробуйте держать бинокль в дрожащих руках – ничего не увидите» (Д. С. Лихачев)."
178,Непал. Винтажный роман,217.0,https://www.chitai-gorod.ru/product/nepal-vintazhnyy-roman-2895556,480.0,2.4,13.5,20.6,409,Твёрдый переплёт,2022.0,"Перед нами Европа и Азия. Короли и магараджи. Коммунисты и маоисты. Небесные и земные боги. Герои и монстры. Горы и равнины. Война и революция. Охота и расстрел. Любовь и ненависть. Звёздная жизнь и нелепая смерть людей, о которых знает весь мир. С середины XX века до наших дней. Всё тесно сплелось в одном реальном и мистическом пространстве по имени Непал.
Александр Чумиков — журналист и писатель, академический учёный и университетский профессор, альпинист и путешественник. Доктор политических наук, автор 40 учебников, учебных пособий, монографий по тематике PR, медиа, антикризисных коммуникаций. Генеральный директор Международного пресс-клуба. Лауреат премии Союза журналистов России и Национальной литературной премии «Серебряное перо Руси». В художественно-документальной прозе дебютировал в 2008 г. с мемуарной книгой «Записки PRофессионала». В 2020 г. опубликовал трилогию «Москва-400. Кам-са-мол! 90-е»."
179,Намедни,4336.0,https://www.chitai-gorod.ru/product/namedni-2605888,224.0,2.0,24.2,33.7,1549,Твёрдый переплёт,2021.0,"Новая, восьмая по счету, книга из легендарного проекта «Намедни» одного из лучших журналистов России Леонида Парфенова. На этот раз речь пойдет о самой трагичной и значимой эпохе отечественной истории - тридцатых годах прошлого века. «Намедни. Наша эра. 1931 - 1940» - великолепная возможность рассмотреть собственную историю во всей ее полноте. Вспомнить, например, что в том самом, кровавом тридцать седьмом году, пока граждане всех сословий и социального положения прислушивались к шуму сапог на лестницах и высматривали, не остановилась ли у подъезда зловещая черная «Маруся», легендарная Изабелла Юрьева записывает свои лучшие романсы, с размахом отмечается юбилей Пушкина, в США при посадке сгорает самое большое воздушное судно в мире - гигантский цеппелин «Гинденбург», проходит легендарная Всемирная выставка в Париже, на которой будет представлена монументальная скульптура Веры Мухиной «Рабочий и колхозница», окончательно объединяются страны «Оси» Германия, Италия и Япония, записываются «Утомленное солнце» и «Неудачное свидание», главные хиты советской эстрады в ритмах танго и фокстрота. А еще возникает легендарная служба точного времени, и теперь любой желающий, набрав телефонный номер, может узнать, который час. Эта услуга переживет и советский строй, и весь ХХ век. Около 500 иллюстраций: фотографий, плакатов, кинокадров, - помогут глубже и полнее понять жизнь тех лет. «Намедни. Наша эра. 1931 - 1940» подарит ни с чем не сравнимое удовольствие погружения в собственную историю."
180,Купание в пруду под дождем,394.0,https://www.chitai-gorod.ru/product/kupanie-v-prudu-pod-dozhdem-3016279,576.0,2.3,11.5,18.0,290,Мягкий переплёт,2023.0,"Секреты литературы легко раскрыть - достаточно лишь перевернуть страницу.
ЧЕХОВ. ТУРГЕНЕВ. ТОЛСТОЙ. ГОГОЛЬ.
СЕМЬ рассказов известных русских писателей — СЕМЬ эссе, которые Джордж Сондерс создал на основе курса, который вот уже много лет он читает в Сиракьюсском университете.
""Когда читаешь этих авторов, они тебя меняют, а мир вокруг словно бы начинает излагать другую, гораздо более интересную, историю — историю, в какой можно сыграть значимую роль и где на читателя возложена ответственность"".
Ведь изучать литературу — это изучать саму жизнь."
181,Последние свидетели: Соло для детского голоса,557.0,https://www.chitai-gorod.ru/product/poslednie-svideteli-solo-dlya-detskogo-golosa-2992485,304.0,2.6,13.5,20.5,330,,2023.0,"Второя книга знаменитого художественно-документального цикла «Голоса Утопии» Светланы Алексиевич, лауреата Нобелевской премии по литературе «за многоголосое творчество - памятник страданию и мужеству нашего времени». Воспоминания о Великой Отечественной войне детей - самых беспристрастных и самых несчастных ее свидетелей. Война, увиденная детскими глазами, оказалась еще страшнее, чем запечатленная женским взглядом в книге «У войны не женское лицо». «Последние свидетели» -это подвиг детской памяти. Как и остальные книги цикла, публикуется в новой авторской редакции."
182,Helter Skelter: Правда о Чарли Мэнсоне,1025.0,https://www.chitai-gorod.ru/product/helter-skelter-pravda-o-charli-mensone-2968149,640.0,3.3,13.8,20.7,638,Твёрдый переплёт,2023.0,"Подлинная история одного из самых громких судебных дел XX века - группового убийства ""Семьей"" Чарльза Мэнсона актрисы Шэрон Тейт и ее друзей.
Чудовищные подробности, религия и мистика, психологический портрет ""калифорнийского потрошителя"" и документальный отчет об одном из самых длинных судебных процессов в истории.
Разыгравшаяся в Голливуде конца 1960-х годов трагедия, о которой идет речь в этой книге, не имеет срока давности; имена ее участников все еще на слуху, а главные действующие лица за минувшие годы приобрели статус культовых личностей."
183,История мирового шпионажа,552.0,https://www.chitai-gorod.ru/product/istoriya-mirovogo-shpionazha-2852380,448.0,3.5,13.2,20.6,349,Твёрдый переплёт,2022.0,"Книга составлена Алленом Даллесом — супершпионом, легендарным шефом ЦРУ, автором многих бестселлеров, в том числе «ЦРУ против КГБ. Искусство шпионажа». В книге повествуется о 39 ярчайших эпизодах из богатой истории мирового шпионажа. Каждый эпизод снабжен личными комментариями Аллена Даллеса. Среди героев книги — специалисты по тайным убийствам, создатели крупнейших агентурных сетей, знатоки методов технического шпионажа, «нелегалы», шпионы­«оборотни», агенты­«двойники» и другие представители этой необычной профессии, чья жизнь проходит под грифом «Совершенно секретно!»."
184,"Заслуженный приговор. Ошибки и преступления ""зиновьевской"" оппозиции",1084.0,https://www.chitai-gorod.ru/product/zasluzhennyy-prigovor-oshibki-i-prestupleniya-zinovevskoy-oppozicii-2939127,400.0,2.1,14.5,21.5,509,Твёрдый переплёт,2022.0,"Почему Григорий Зиновьев, один из самых влиятельных людей в ВКП(б), глава Коминтерна, упал с партийного Олимпа и вскоре был расстрелян? Были ли у него хоть какие-то шансы спастись или он заслужил смерть? Какую роль в судьбе Зиновьева сыграл Иосиф Сталин? Ответы на эти вопросы находились под грифом секретности больше 85 лет — пока, наконец, не пришло время поставить точку в деле «зиновьевской» оппозиции.
Книга перед вами — единственная в своем роде. Зиновьев писал ее еще в 1935–1936 годы, уже находясь в заключении, но она ни разу не издавалась — до сегодняшнего дня. Что представляет собой это издание? Восстановленное по оригинальным рассекреченным рукописям, оно дополнено краткими биографическими справками обо всех действующих лицах. Это и глубокий анализ советской внутрипартийной политики, и подробный рассказ о главных событиях 1930-х годов, и уникальный взгляд их непосредственного участника.
Так кто же такой Григорий Зиновьев — и действительно ли он заслуживал смерти?"
185,Фашизм CF нацизм,1519.0,https://www.chitai-gorod.ru/product/fashizm-cf-nacizm-3026251,400.0,2.2,14.5,21.5,470,,2024.0,"Достаточно ли 100 лет для осознания сути такого явления, как фашизм? Казалось бы, достаточно. За столетие, прошедшее с момента возникновения массовых фашистских организаций, появилось огромное количество статей, научных исследований, книг с воспоминаниями, которые обнажают звериную сущность этого явления. Но на все ли вопросы получены однозначные ответы? Единодушны ли историки, публицисты, политики в интерпретации исторических фактов? Споры о сущности фашизма и национал-социализма как его составной части не утихают до сих пор.Автор данной книги считает своей целью показать особенности фашизма в целом и германского национал-социализма в частности, основываясь на осколках правды, реальных исторических фактах, а не на собственной трактовке событий. Читатели познакомятся с расовой теорией Гитлера, ветеранскими союзами, программой НСДАП и многими другими проявлениями чумы XX века."
186,Валерий Легасов: Высвечено Чернобылем,624.0,https://www.chitai-gorod.ru/product/valeriy-legasov-vysvecheno-chernobylem-2912516,320.0,3.2,13.5,21.0,358,Твёрдый переплёт,2023.0,"В основу книги «Валерий Легасов: Высвечено Чернобылем» легли уникальные материалы: интервью, статьи и воспоминания Валерия Легасова, одного из руководителей ликвидации последствий аварии на Чернобыльской АЭС, который первым в СССР и в мире в целом проанализировал последствия катастрофы и первым подробно рассказал о них. Кроме них, в книгу включены статьи о технологических и политических аспектах катастрофы, написанные с использованием как современных материалов, так и ранее не публиковавшихся архивных документов. Глубокий анализ темы позволит читателю сформировать собственное мнение о Чернобыльской катастрофе и прийти к новым выводам."
187,Спецоперация. Полтора года спустя,1222.0,https://www.chitai-gorod.ru/product/specoperaciya-poltora-goda-spustya-3019693,608.0,3.5,13.0,20.6,536,Твёрдый переплёт,2023.0,"Известные российские военные журналисты продолжают свой рассказ о ходе Специальной военной операции. Авторы уделяют значительное внимание обстановке на разных участках фронта, рассматривают предпосылки тех или иных событий, методы ведения боевых действий и различные образцы военной техники и оружия.
Среди героев этой книги жители присоединенных к России территорий, военнослужащие Российской армии, волонтеры и добровольцы — все те, кто борется за будущее России."
188,Оборотни в эполетах. Тысяча лет Российской коррупции,605.0,https://www.chitai-gorod.ru/product/oborotni-v-epoletah-tysyacha-let-rossiyskoy-korrupcii-2839862,320.0,2.0,13.0,20.5,250,Твёрдый переплёт,2021.0,"Коррупция – штука въедливая, заразная и многолетняя. Истребить ее подчистую до сих пор не удалось ни одному правителю в мире. Россия, разумеется, в этом плане не сильно отличается от остальных. В самых древних исторических документах, произведениях искусства, живописи и литературы, дошедших до нас, можно при желании обнаружить признаки этой бессмертной заразы.
Воровали и мелкие чиновники, и помещики, и дворяне, и приближенные к царской семье вельможи. Увлекались казнокрадством генералы, военачальники и воспетые поэтами герои. Придумывали мошеннические схемы губернаторы, крупные банкиры и промышленники…
За многими, весьма многими водился этот грешок.
Сегодня что-нибудь изменилось? Масштабы, суммы, социальное положение коррупционеров? Выводы делайте сами. А пока – погрузитесь в этот чарующий мир золотых эполетов, залитых светом дворцов, роскошных балов и прекрасных дам – там! там дрожали и потели в предвкушении халявных денег потные ручонки алчных мздоимцев, жуликов и сиятельного ворья…"
189,Украина. Геополитический миф,419.0,https://www.chitai-gorod.ru/product/ukraina-geopoliticheskiy-mif-3033623,512.0,4.0,11.5,18.0,320,Мягкий переплёт,2024.0,"Откуда пошла Русь, чем была Русь Киевская, «Украина» и «укрАина» — одно и то же? Всем, кто изучал историю, ответы известны. А тем, кто не изучал? Или изучал историю альтернативную?
«Украина» Андрея Медведева родилась из телевизионного проекта, в который не смогли войти все подробности, факты и документальные подтверждения. Это историческая правда о том, кто, когда, каким образом и зачем впервые вложил в головы жителей исконно русских земель, что они и НЕ русские вовсе, а отдельный этнос, самостийный народ. И подробная хроника трагических последствий, к которым этот геополитический миф, а по сути — обман, приводил уже не однажды — и в 1914-м, и в 1941-м, и сейчас, в XXI веке."
190,Как Советский Союз победил в войне,559.0,https://www.chitai-gorod.ru/product/kak-sovetskiy-soyuz-pobedil-v-voyne-2964797,256.0,2.3,13.0,20.5,290,Твёрдый переплёт,2023.0,"БЕСТСЕЛЛЕР МАРКА СОЛОНИНА!

«Через три недели после начала операции немецкие генералы могли констатировать, что первая задача, поставленная перед ними по плану «Барбаросса» («Основные силы русских войск должны быть уничтожены в смелых операциях посредством глубокого, быстрого выдвижения танковых клиньев»), в основном уже выполнена. Две трети расстояния от западной границы до Ленинграда и Москвы были пройдены… И вот начавшаяся таким образом война закончилась в Берлине. Первым творцом «великого перелома» стал Адольф Гитлер. Величайший преступник и изувер вроде бы не был клиническим идиотом, однако перечень безумных ошибок, совершенных им в 41-м году, не перестает удивлять…»

«Если самоубийственная глупость Гитлера позволила Советскому Союзу избежать стремительного разгрома летом 41-го, а участие в войне союзников помогло выстоять в 42—43 гг., то превращением этих благоприятных обстоятельств в конечную победу мы обязаны Сталину… Чудо-оружие, принесшее победу в войне, создавалось заранее, его испытали, отточили, размножили в небывалом количестве. И оно сработало, даже на краю гибели — сработало!» (Марк Солонин)"
191,Гитлерленд. Третий Рейх глазами обычных туристов,670.0,https://www.chitai-gorod.ru/product/gitlerlend-tretiy-reyh-glazami-obychnyh-turistov-2995503,512.0,3.2,13.7,20.7,493,Твёрдый переплёт,2023.0,"Можно ли заранее понять, какой кровью и жертвами закончится политика очередного государственного деятеля? Пример Гитлера показывает: мало кто владеет даром предвидения, но цена ошибки может быть чрезмерно высока. Автор изучил десятки мемуаров своих соотечественников, умных и талантливых людей, живших в Германии или посещавших страну в тридцатые годы прошлого века: американских дипломатов, военных, журналистов, писателей, артистов, спортсменов, бизнесменов, туристов. В относительной безопасности они наблюдали приход Гитлера, как безальтернативного лидера Рейха. Видели насилие ""партии власти"" над политическими противниками; репрессии в отношении нацменьшинств, гомосексуалистов, социал-демократов и всех, кто не шел в ногу с наливающимся соком ненависти тоталитарным государством. Некоторые этих сторонних наблюдателей не задумывались, какими ужасами войны и Холокоста может кончиться популизм нацистов. Другие сознательно закрывали глаза на ""перегибы"", потому что им нравилась новая энергичная и воодушевленная Германия. Но даже те, кто критически относился к Гитлеру, смогли осознать истинные масштабы катастрофы, когда было уже поздно что-то изменить. Однако, они пытались… Автор сам отчасти повторил судьбу этих людей: как неблагонадежный корреспондент ведущего мирового СМИ (Newsweek) был выслан из СССР в период ""закручивания гаек"" и ввода советских войск в Афганистан. Благодаря Нагорски живые голоса американцев, ставших свидетелями расцвета нацистского режима, звучат в книге."
192,Введение в философию,743.0,https://www.chitai-gorod.ru/product/vvedenie-v-filosofiyu-2996068,480.0,2.8,13.5,20.6,430,Мягкий заламинированный картон,2023.0,"Мераб Константинович Мамардашвили (1930–1990) — один из наиболее значительных мыслителей второй половины ХХ века. В настоящее издание вошли два курса лекций, прочитанных М. К. Мамардашвили во ВГИКе в 1979–1980 годах под общим названием «Введение в философию». Из всего наследия автора эти лекции являются наиболее доступными и понятными широкому кругу читателей. В книге анализируются природа, характер и цели философского мышления. На примерах, приводимых из истории философии, показывается, почему и как строится отвлеченный аппарат философского рассуждения и языка, какие проблемы существования предполагают в человеческих культурах и личности развитие навыка и умения философствовать, в чем заключается различие между реальной философией и философией учений и систем."
193,Призраки в солнечном свете. Портреты и наблюдения,921.0,https://www.chitai-gorod.ru/product/prizraki-v-solnechnom-svete-portrety-i-nablyudeniya-2979883,608.0,2.6,14.5,21.6,680,Твёрдый переплёт,2023.0,"Трумен Капоте, автор таких бестселлеров, как «Голоса травы», «Хладнокровное убийство» и «Завтрак у Тиффани» (самое знаменитое из его произведений, прославленное в 1961 году экранизацией с Одри Хепберн в главной роли), входит в число крупнейших американских прозаиков XX века. Данный сборник исчерпывающе представляет Капоте как мастера художественно-документального жанра — от ранних очерков до «Воспоминания об Уилле Кэсер», написанного им за день до смерти и никогда прежде не публиковавшегося; особое место в книге занимает большая повесть «Музы слышны» — отчет Капоте о гастролях с афроамериканской труппой, которая привезла мюзикл «Порги и Бесс» в Москву и Ленинград в далеком 1956 году..."
194,Ожившая история. Нетривиальные очерки по русской истории,1959.0,https://www.chitai-gorod.ru/product/ozhivshaya-istoriya-netrivialnye-ocherki-po-russkoy-istorii-2978541,336.0,2.5,23.1,23.3,1250,Твёрдый переплёт,2022.0,"Эта книга родилась из запроса фолловеров (подписчиков) канала «Историк в телефоне» к блогеру Надежде Дорониной (@history_doronina), которые выразили желание читать, то, что она пишет не только в телефоне. Готовя книгу, мы решили, что будем называть посты, которые она написала для своих каналов в социальных сетях очерками. Все написанные Надеждой очерки оригинальны и необычны, пропущены через душу, сердце и голову, поэтому они так трогают читателей. Её герои оживают, разговаривают, смеются и плачут вместе с автором, при этом являясь историческими или эпическими личностями. Яркая эмоциональная окраска исторических событий, которые переживают герои, никого не оставляет равнодушным. Исторические факты, которые приводит автор постов, а теперь и очерков, запоминаются и трогают душу. Приводимые исторические факты, а Надежда работает в школе учителем истории, выверены и точны. Мы верим, что совместная работа Надежды Дорониной и коллектива издательства «Аврора» найдет своих читателей. Мы заявляем, что на свет появился новый жанр: научно-публицистическая художественная литература!
Приятного и полезного чтения всем нам!"
195,Такие дела: живем в России,1149.0,https://www.chitai-gorod.ru/product/takie-dela-zhivem-v-rossii-2774951,216.0,1.2,15.5,23.0,300,Мягкий переплёт,2019.0,"""Эти тексты я открываю каждую субботу. Такой ритуал. Именно из этих небольших и искренних текстов складывается образ нашей сегодняшней жизни, пульса общества, его ""взлетов и падений"". Ни радио, ни телевидение не дают такой подлинной картины нашей жизни. Каждый человек живет в своем собственном пространстве, и оно, как правило, ограничивается ближним кругом родственников, друзей и сослуживцев. .Проект ""Такие дела"" грандиозно расширяет это пространство, делает больного ребенка из Тамбова или несправедливо уволенную из школы учительницу нашими ближними - у них появляется имя, фамилия, выражение лица. А у нас - возможность сострадания и иногда помощи. Это замечательный проект, и он нужен всем..."""""
196,"Слово советского пацана. Бандиты, маньяки, следаки",939.0,https://www.chitai-gorod.ru/product/slovo-sovetskogo-pacana-bandity-manyaki-sledaki-3048064,224.0,1.5,13.5,20.5,320,Твёрдый переплёт,2024.0,"Историк Сергей Холодов десятилетиями изучает криминальный мир нашей страны. В его новой книге — истории самых резонансных преступлений последних ста лет. Тут и бытовые убийства, и художества объединенных преступных группировок,и одиссеи печально знаменитых маньяков, серийных убийств и каннибалов, военных преступников. Таких, как Мишка Япончик, Культяпый, новочебоксарский каннибал Николаев, бандиты из «Чёрной кошки», одесские послевоенные грабители, которых уничтожил маршал
Жуков, Вячеслав Иваньков... Автор раскрывает не только ход преступлений, но и психологию криминала, и их социальную подоплеку. В сфере внимания автора — и те, кто отдает жизни в борьбе с преступностью. Те, о ком мы часто забываем. Это воины правопорядка. Книга будет интересна и специалистам, и всем, кого интересуют запутанные дела, жестокие преступления, словом, подполье нашей жизни,которое было сто лет назад, но остаётся и поныне"
197,Субъективный взгляд,1508.0,https://www.chitai-gorod.ru/product/subektivnyy-vzglyad-2955107,356.0,26.0,17.2,24.3,788,Твёрдый переплёт,2023.0,"Владимир Владимирович Познер — мэтр российской журналистики. За его плечами годы продуктивной работы на телевидении (телеведущий авторской телевизионной программы-интервью ""Познер"" на ""Первом канале"") и несколько книг. Его книги ""Немецкая тетрадь"", ""Английская тетрадь"" и ""Испанская тетрадь"" на протяжении нескольких месяцев держалась во многих российских рейтингах.
Новая книга Владимира Познера ""Субъективный взгляд"" — это подарочное издание в новом оформлении, которая под одной книгой объединяет все тетради. Она иллюстрирована фотографиями автора, за каждой из которой прячется уникальная история, маленькая, но выразительная. Это результат долгих раздумий автора о странах, о людях, с которыми ему довелось встретиться, о прошлом и настоящем и о том, что связывает и разделяет в настоящий момент три страны и Россию."
198,Я больше не верю курсиву,399.0,https://www.chitai-gorod.ru/product/ya-bolshe-ne-veryu-kursivu-2815406,320.0,1.5,13.1,20.6,319,Твёрдый переплёт,2020.0,"Единственный сборник нонфикшена от культового писателя-фантаста Уильяма Гибсона, придумавшего киберпространство и Матрицу.
Включает автобиографию, эссе и другую публицистику.


«Гибсон — пророк и сатирик, мрачный комедиант и архитектор крутизны… Он также несет ответственность за столь многое в мире, в котором мы живем». — Spectator

«Провокационный, неожиданный взгляд на неизвестную сторону карьеры суперзвезды научной-фантастики». — Kirkus

«Я забыл, что Уильям Гибсон не только крупный романист, но и один из лучших эссеистов и критических наблюдателей, действующих сейчас в нашей социокультурной сфере. Это его первый сборник эссе, и я не покривлю душой, сказав, насколько он хорош: грубый, странный, честный, умный». — Лев Гроссман"
